GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JUnit-PowerMockito-Jacoco,base.exceptions,NoDatFoundException,0,3,0,0,0,2,0,1,0,1
JUnit-PowerMockito-Jacoco,base.service,ContactServiceImpl,0,46,0,4,0,14,0,7,0,5
